alpha,beta,delta,gamma,mse
0.6666666666666666,1,0.6666666666666666,0.6666666666666666,3.05563489493168
0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,3.106144648315963
0.6666666666666666,1,1.3333333333333333,1.3333333333333333,3.1066907019818597
1,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.1104448455418767
0.3333333333333333,0.3333333333333333,1,1,3.1123675670132105
1,0.6666666666666666,1.3333333333333333,0.6666666666666666,3.16931615097752
1,1.3333333333333333,0.3333333333333333,0.3333333333333333,3.239810506076317
1,0.6666666666666666,1.3333333333333333,0.3333333333333333,3.24726439128615
0.6666666666666666,1,1,1,3.262039640189613
1,0.6666666666666666,1,0.3333333333333333,3.2745234391425107
0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.27889438547479
0.3333333333333333,0.6666666666666666,1,1.3333333333333333,3.296420735591811
1,1,0.6666666666666666,0.6666666666666666,3.3014224749388252
0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.3199317149523697
1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,3.3824084616963352
1,1,0.3333333333333333,0.3333333333333333,3.416514073409764
1,1,1.3333333333333333,1.3333333333333333,3.428489650133595
1.3333333333333333,1.3333333333333333,1,1,3.4606008901787995
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.5358983442399823
1,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.5527253745545258
1,0.6666666666666666,1,0.6666666666666666,3.635472228661492
0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,3.6480833970377278
0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.674782167661532
1.3333333333333333,1,0.6666666666666666,0.6666666666666666,3.811488932006606
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.9019813184528562
0.6666666666666666,0.6666666666666666,1,1,3.9291992967517286
1,1.3333333333333333,1,1.3333333333333333,3.930306491359346
0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,3.9604392167867557
1.3333333333333333,1,1.3333333333333333,1,4.023556411638024
1,0.6666666666666666,1.3333333333333333,1,4.02575781123725
0.3333333333333333,0.3333333333333333,0.6666666666666666,1,4.361928306630599
1.3333333333333333,1,0.3333333333333333,0.3333333333333333,4.38204262894857
1,1,1,1.3333333333333333,4.621795628379262
0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,4.658607643428313
0.3333333333333333,0.3333333333333333,1,1.3333333333333333,4.736673397472201
0.6666666666666666,1.3333333333333333,1,1.3333333333333333,4.885575684568769
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.889033147033187
1.3333333333333333,1,1,1,4.911530408110086
1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,4.954464744786232
1.3333333333333333,1.3333333333333333,0.6666666666666666,1,4.980850567881913
1,0.6666666666666666,1,1,5.025062360002451
0.6666666666666666,1,1,1.3333333333333333,5.147980774877752
0.3333333333333333,0.3333333333333333,0.3333333333333333,1,5.166896143050154
1,1.3333333333333333,0.6666666666666666,1,5.430267122194235
1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,5.476969447815444
1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,5.5316322833415805
1,1,0.6666666666666666,1,5.544265870150072
1,0.6666666666666666,1.3333333333333333,1.3333333333333333,5.614152511930308
1.3333333333333333,0.6666666666666666,1,0.6666666666666666,5.651139768405049
1.3333333333333333,0.6666666666666666,1,0.3333333333333333,5.673288627578039
1,0.6666666666666666,0.3333333333333333,0.3333333333333333,5.677149926952852
0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,5.812815789883258
0.6666666666666666,0.6666666666666666,1,1.3333333333333333,5.955400424431006
0.6666666666666666,1.3333333333333333,0.6666666666666666,1,6.074377764267865
0.6666666666666666,1,0.6666666666666666,1,6.138606665473917
0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,6.170832822103053
1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,6.2044726404567
0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,6.216035066171306
1.3333333333333333,1,0.6666666666666666,1,6.549142655444612
1.3333333333333333,1.3333333333333333,1,1.3333333333333333,6.552462410761912
0.6666666666666666,0.3333333333333333,1,0.3333333333333333,6.622228900648695
0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,6.795839704882191
0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.938091097851882
0.6666666666666666,0.3333333333333333,1,0.6666666666666666,7.21501724921125
1,0.6666666666666666,1,1.3333333333333333,7.269575802543393
1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,7.353416153109353
0.6666666666666666,0.6666666666666666,0.6666666666666666,1,7.553722426672282
0.6666666666666666,0.3333333333333333,1.3333333333333333,1,7.557949689759756
1.3333333333333333,1,1.3333333333333333,1.3333333333333333,7.72197755084807
1,0.6666666666666666,0.6666666666666666,1,7.776559545586558
1.3333333333333333,0.6666666666666666,1.3333333333333333,1,7.969769683359084
1.3333333333333333,0.6666666666666666,1,1,8.143464939656614
